,DTEXCLUD,DT_EXCLUD_removed,DNORC,FV,$OUTLINE,PC_100:boundary,FIND_EC_02,CHIPEDGE,GUARDEDG,NAME,CHIPNAME,DIRRX,DIRDT,DIRPC,DIRCA,DIRV1,DIRV2,DIRV3,DIRV4,DIRCB,DIRW0,DIRW1,DIRYY,DIRCT,DIRM1,DIRM2,DIRM3,DIRM4,DIRM5,DIRB1,DIRB2,DIRI1
CaEgNA_2,None,None,None,"FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV",$OUTLINE,None,None,None,None,NAME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AA_05x05_protect,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
IDVMON,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
PBA_AFET_DCRF_A_14S_3,None,None,None,"FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV",$OUTLINE,None,None,None,None,NAME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
PBA_IMR_DC_B_14S_3,None,None,None,"FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV",$OUTLINE,None,None,None,None,NAME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
PBA_CRO_DCRF_A_14S_3,None,None,None,"FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV",$OUTLINE,None,FIND_EC_02,None,None,NAME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
PBA_CMLBF_DC_B_14S_3,None,None,None,"FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV",$OUTLINE,None,None,None,None,NAME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
PBA_CMLBF_DC_A_14S_3,None,None,None,"FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV",$OUTLINE,None,None,None,None,NAME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
PBA_IMR_DC_C_14S_3,None,None,None,"FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV",$OUTLINE,None,None,None,None,NAME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
PBA_CRO_DCRF_B_14S_3,None,None,None,"FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV, FV",$OUTLINE,None,FIND_EC_02,None,None,NAME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
